;Web ID;Region;Reported Date;Reported Year;Reported Month;Number Dead;Minimum Estimated Number of Missing;Total Dead and Missing;Number of Survivors;Number of Females;Number of Males;Number of Children;Cause of Death;Location Description;Information Source;Location Coordinates;Migration Route;URL;UNSD Geographical Grouping;Source Quality
0;52758.0;Europe;December 31, 2019;2019.0;Dec;2.0;;2;;;;;Fell;Unspecified location, Bosnia and Herzegovina;Ministry of Internal Affairs of the Una-Sana Canton;44.162208777872, 19.204954533721;Western Balkans;;Southern Europe;5.0
1;52757.0;Europe;December 31, 2019;2019.0;Dec;3.0;;3;;;;;Vehicle accident;Unspecified location, Bosnia and Herzegovina;Ministry of Internal Affairs of the Una-Sana Canton;44.163960197629, 19.199461369658;Western Balkans;;Uncategorized;5.0
2;52756.0;Europe;December 31, 2019;2019.0;Dec;1.0;;1;;;;;Drowning;Unspecified location, Bosnia and Herzegovina;Ministry of Internal Affairs of the Una-Sana Canton;44.210945440680, 19.023558588857;Western Balkans;;Southern Europe;5.0
3;52858.0;Europe;December 28, 2019;2019.0;Dec;5.0;;5;;;;;Drowning;Unspecified location in the Evros/Meriç river, Evros region, Greece;Forensic Laboratory of Alexandroupolis Hospital via efsyn;40.910459471231, 26.256949499334;;http://bit.ly/31trGCU;Southern Europe;1.0
4;52660.0;Europe;December 23, 2019;2019.0;Dec;2.0;4.0;6;9.0;3.0;3.0;2.0;Drowning;Danube River near Karavukovo, Serbia, near border with Croatia;IOM Serbia;45.492211859695, 19.093471134766;Western Balkans;http://bit.ly/2Qzo6Sx;Southern Europe;4.0
5;52674.0;Europe;December 22, 2019;2019.0;Dec;1.0;;1;;1.0;;;Unknown;Between Kirki and Alexandroupolis, Evros Region, Greece;Eidiseis;40.906817440243, 25.840116946924;;https://bit.ly/37uUxIx;Southern Europe;1.0
6;52675.0;Europe;December 18, 2019;2019.0;Dec;1.0;;1;;;1.0;;Drowning;Isonzo river, between Gradisca and Sagrado, Italy;il Giornale;45.881492295409, 13.494343026794;;https://bit.ly/39COseW;Southern Europe;1.0
7;52659.0;Europe;December 17, 2019;2019.0;Dec;1.0;;1;;;1.0;;Hit by vehicle;E42 motorway near Vaulx, Belgium;Sudinfo, VivreIci;50.597638474288, 3.445888463321;;http://bit.ly/2rK0vGv, http://bit.ly/35cTziK;Western Europe;3.0
8;52655.0;Europe;December 11, 2019;2019.0;Dec;1.0;;1;;;1.0;;Electrocution on railway;Train tracks in Serbia near Croatian border after leaving from Sid Reception Center;IOM Serbia;45.139406472359, 19.179559008154;Western Balkans;http://bit.ly/38PwYvP;Southern Europe;4.0
9;52647.0;Europe;December 08, 2019;2019.0;Dec;2.0;;2;;2.0;;;Hypothermia;Evros region, Greece: two bodies found near Evros/Meriç river in the village of Gemisti;VICE, AP;40.962742400000, 26.331763700000;;http://bit.ly/36ohFIb, https://bit.ly/38soudM, https://bit.ly/2RGNnwl;Southern Europe;3.0
10;52646.0;Europe;December 08, 2019;2019.0;Dec;4.0;;4;;;4.0;;Hypothermia;Evros region, Greece: four bodies found near Korimvos, Greece;VICE, AP;41.353333400000, 26.197478000000;;http://bit.ly/36ohFIb, https://bit.ly/38soudM, https://bit.ly/2RGNnwl;Southern Europe;3.0
11;52636.0;Europe;November 28, 2019;2019.0;Nov;2.0;;2;;;;;Vehicle accident;Ljubljana-Koper motorway, near the town of Vrhnika, Slovenia;Slovenian Police via IOM Slovenia, Total Slovenia News, L'Avenir, L'Orient-Le Jour;45.967034400000, 14.298533000000;Western Balkans;http://bit.ly/2LqJ04q, https://bit.ly/2L59hoU, https://bit.ly/2rCDncq;Southern Europe;5.0
12;52628.0;Europe;November 23, 2019;2019.0;Nov;1.0;;1;;;1.0;;Unknown;Remains recovered in Mega Dereio, Evros region, Greece;e-evros.gr;41.244376100000, 26.135943100000;;http://bit.ly/2OSh1vC;Southern Europe;1.0
13;52611.0;Europe;November 16, 2019;2019.0;Nov;1.0;;1;;;1.0;;Hit by train;Train tracks near Soufli, Evros region, Greece;Ekathimerini;41.195121100000, 26.299143100000;;http://bit.ly/2ptUHjh;Southern Europe;3.0
14;52604.0;Europe;November 11, 2019;2019.0;Nov;;4.0;4;6.0;;;;Drowning;Danube river, near Apatin, Serbia - on border with Croatia;ANSA, EFE;46.308380700000, 18.929394000000;Western Balkans;http://bit.ly/2CD91Jg, http://bit.ly/33DSQHf;Southern Europe;3.0
15;52530.0;Europe;November 07, 2019;2019.0;Nov;1.0;;1;;;1.0;;Hypothermia and exhaustion;Found in the woods near Ilirska Bistrica but died in front of the Ilirska Bistrica police station, Inner Carniola, Slovenia;Ministry of Internal Affairs Slovenia, MMC RTV SLO;45.571704200000, 14.244041000000;Western Balkans;https://bit.ly/2O4hxpF;Southern Europe;5.0
16;52521.0;Europe;November 03, 2019;2019.0;Nov;1.0;;1;;;1.0;;Vehicle Accident;Egnatia-Odos highway, near Thessaloniki, Greece;IOM Greece;40.691931200000, 22.945088800000;;https://bit.ly/2NfAmah;Southern Europe;4.0
17;52526.0;Europe;October 31, 2019;2019.0;Oct;2.0;;2;;;2.0;;Drowning;Kolpa/Kupa river, near Vukovci, Slovenia, near border with Croatia;STA, AP;45.430483866762, 15.228263662522;Western Balkans;https://bit.ly/2NoD6Cj, https://abcn.ws/2qtd73O;Southern Europe;3.0
18;52511.0;Europe;October 23, 2019;2019.0;Oct;39.0;;39;;8.0;31.0;3.0;Suffocation;Inside a lorry container parked at Waterglade Industrial Park, Eastern Avenue, Grays, Essex, England, UK;Essex Police;51.478385361096, 0.268362365616;;http://bit.ly/2P7CItk, https://www.bbc.com/news/uk-england-essex-50350481;Western Europe;5.0
19;52496.0;Europe;October 14, 2019;2019.0;Oct;2.0;;2;;;2.0;1.0;Drowning;Bodies recovered on Le Touquet, Pas-de-Calais, France;Franceinfo, Le Monde;50.524419783820, 1.556037455696;Western Balkans;http://bit.ly/2pm5ZW8, http://bit.ly/32kxFt6;Western Europe;3.0
20;52501.0;Europe;October 12, 2019;2019.0;Oct;1.0;;1;;;1.0;1.0;Electrocution on railway;Died in the hospital in Gevgelija, North Macedonia - after being found severely injured on 1 October 2019 near the railway station in Gevgelija;IOM North Macedonia, Ministry of Interior of North Macedonia;41.144483100000, 22.505657100000;Western Balkans;;Southern Europe;5.0
21;52489.0;Europe;October 09, 2019;2019.0;Oct;3.0;;3;12.0;;1.0;;Vehicle Accident;Road near Areti, 40km northeast of Thessaloniki, Greece;IOM Greece, Ekathimerini;40.740769378941, 23.256371964803;;http://bit.ly/2VsDDpg;Southern Europe;4.0
22;52506.0;Europe;October 09, 2019;2019.0;Oct;1.0;;1;;;1.0;;Unknown;Body found inside abandoned camp trailer in Osmanagići, municipality of Cazin, Una-Sana canton, Bosnia and Herzegovina;Are You Syrious?, Dnevni avaz, Pogled, Ministry of Internal Affairs of Una-Sana Canton;44.983290637426, 15.945828464803;Western Balkans;http://bit.ly/2BzntkL, http://bit.ly/2Jf75ue, http://bit.ly/2MHLyMV;Southern Europe;4.0
23;52505.0;Europe;October 05, 2019;2019.0;Oct;1.0;;1;10.0;;1.0;;Shot;Vranjska, municipality of Bileća, Republika Srpska, Bosnia and Herzegovina - near border with Montenegro;Are You Syrious?, klix.ba, Novilist, Ministry of Internal Affairs of Una-Sana Canton;42.870541415874, 18.442932530849;Western Balkans;http://bit.ly/2BzntkL, http://bit.ly/2MHG5FT, http://bit.ly/2Pb0moP;Southern Europe;4.0
24;52468.0;Europe;October 01, 2019;2019.0;Oct;2.0;;2;;;2.0;;Drowning;Lake Sot, near Šid, Voivodina, Serbia - near border with Croatia;IOM Serbia, Telegraf;45.158752305501, 19.339737369364;Western Balkans;http://bit.ly/2mYdFNG;Southern Europe;4.0
25;52504.0;Europe;September 30, 2019;2019.0;Sep;1.0;;1;;;1.0;;Drowning;Korana river, near Crnaja, municipality of Cazin, Una-Sana canton, Bosnia and Herzegovina;Are You Syrious?, klix.ba, Ministry of Internal Affairs of Una-Sana Canton;45.048654280100, 15.753442809707;Western Balkans;http://bit.ly/2BzntkL, http://bit.ly/2JbONtt;Southern Europe;4.0
26;52606.0;Europe;September 30, 2019;2019.0;Sep;1.0;;1;1.0;;1.0;1.0;Suffocation;Body found inside truck parked in Nea Selefkia, Igumenitsa, Greece - truck was going to board ferry bound for Italy;Eidiseis.gr, 902.gr;39.524573100000, 20.257347000000;;http://bit.ly/350nTxb, http://bit.ly/2ObEtU3;Southern Europe;3.0
27;52446.0;Europe;September 19, 2019;2019.0;Sep;1.0;;1;;;1.0;;Hit by train;Train tracks near Gradsko, North Macedonia;AP;41.579840271918, 21.945251077734;Western Balkans;https://bit.ly/2m9NfHN;Southern Europe;1.0
28;52425.0;Europe;September 12, 2019;2019.0;Sep;1.0;;1;8.0;;;;Vehicle Accident;Egnatia highway, near Komotini, Greece;Ekathimerini, Voria, IOM Greece;41.094866935213, 25.406005057255;;http://bit.ly/2mkfdAX, http://bit.ly/2lY1sYc;Southern Europe;4.0
29;52000.0;Europe;September 07, 2019;2019.0;Sep;1.0;;1;;;1.0;;Head injury;Body recovered in Dora river, near Bardonecchia, Piamonte, Italy;Il Corriere de la Sera, La Reppublica;45.079408592493, 6.700213388391;Italy to France;http://bit.ly/2lDG4ro, http://bit.ly/2m7kCv2;Southern Europe;3.0
30;51977.0;Europe;August 26, 2019;2019.0;Aug;6.0;;6;10.0;;6.0;;Vehicle Accident;Near Loutra, Alexandroupoli, Greece;IOM Greece;40.862794800000, 26.033687200000;;https://bit.ly/2Zh7d6c;Southern Europe;4.0
31;51968.0;Europe;August 25, 2019;2019.0;Aug;1.0;;1;11.0;1.0;;;Vehicle Accident;Kupa River, near Slatina Pokupska, Croatia;Police Administration Sisak-Moslavina County, Croatian National Radio Television (HRT) via IOM Croatia;45.482029519751, 16.004001166565;Western Balkans;https://bit.ly/329RlQd, https://bit.ly/2ZvA5ad, https://bit.ly/2ZdvD0x;Southern Europe;4.0
32;51967.0;Europe;August 23, 2019;2019.0;Aug;1.0;;1;13.0;;1.0;;Vehicle Accident;Near Negotino, North Macedonia, on the highway from Gevgelija to Skopje;IOM North Macedonia;41.502661204569, 22.090889878296;Western Balkans;https://bit.ly/2ZqSRvi;Southern Europe;4.0
33;52672.0;Europe;August 20, 2019;2019.0;Aug;;1.0;1;21.0;;;;Drowning;River Drina, between Serbia and Bosnia and Herzegovina, close to Banja Koviljača;Watch the Med, Ministry of Internal Affairs of Una-Sana Canton;44.521422308521, 19.156523182932;Western Balkans;http://watchthemed.net/index.php/reports/view/1269;Southern Europe;4.0
