Web ID,Reported Date,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Route,Supra Route
52758.0,2019-12-31,2.0,,2,,Other,Other
52757.0,2019-12-31,3.0,,3,,Other,Other
52756.0,2019-12-31,1.0,,1,,Other,Other
52858.0,2019-12-28,5.0,,5,,Other,Other
52660.0,2019-12-23,2.0,4.0,6,9.0,Other,Other
52674.0,2019-12-22,1.0,,1,,Other,Other
52675.0,2019-12-18,1.0,,1,,Other,Other
52659.0,2019-12-17,1.0,,1,,Other,Other
52655.0,2019-12-11,1.0,,1,,Other,Other
52647.0,2019-12-08,2.0,,2,,Other,Other
52646.0,2019-12-08,4.0,,4,,Other,Other
52636.0,2019-11-28,2.0,,2,,Other,Other
52628.0,2019-11-23,1.0,,1,,Other,Other
52611.0,2019-11-16,1.0,,1,,Other,Other
52604.0,2019-11-11,,4.0,4,6.0,Other,Other
52530.0,2019-11-07,1.0,,1,,Other,Other
52521.0,2019-11-03,1.0,,1,,Other,Other
52526.0,2019-10-31,2.0,,2,,Other,Other
52511.0,2019-10-23,39.0,,39,,Other,Other
52496.0,2019-10-14,2.0,,2,,Other,Other
52501.0,2019-10-12,1.0,,1,,Other,Other
52489.0,2019-10-09,3.0,,3,12.0,Other,Other
52506.0,2019-10-09,1.0,,1,,Other,Other
52505.0,2019-10-05,1.0,,1,10.0,Other,Other
52468.0,2019-10-01,2.0,,2,,Other,Other
52504.0,2019-09-30,1.0,,1,,Other,Other
52606.0,2019-09-30,1.0,,1,1.0,Other,Other
52446.0,2019-09-19,1.0,,1,,Other,Other
52425.0,2019-09-12,1.0,,1,8.0,Other,Other
52000.0,2019-09-07,1.0,,1,,Other,Other
51977.0,2019-08-26,6.0,,6,10.0,Other,Other
51968.0,2019-08-25,1.0,,1,11.0,Other,Other
51967.0,2019-08-23,1.0,,1,13.0,Other,Other
52672.0,2019-08-20,,1.0,1,21.0,Other,Other
51964.0,2019-08-18,1.0,,1,,Other,Other
51948.0,2019-08-09,,1.0,1,19.0,Other,Other
52581.0,2019-08-02,2.0,,2,,Other,Other
52580.0,2019-08-02,4.0,,4,,Other,Other
51910.0,2019-07-31,1.0,,1,,Other,Other
51909.0,2019-07-31,1.0,,1,,Other,Other
